idno,filename,id,corpus,sender,receiver,date,year,month,year_range,sender_norm,receiver_norm
ub0320,MahlmannErnestine_MayerJohann_1802-06-28.xml,JP-UB0320,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-06-28,1802,6,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0398,OsmundEmanuel_GoldschmidtCaroline_1802-06-29.xml,JP-UB0398,letters-context,Osmund Emanuel,Goldschmidt Caroline,1802-06-29,1802,6,1799,OsmundEmanuel,GoldschmidtCaroline
ub0447,RichterCaroline_MayerJohann_1802-07-12.xml,JP-UB0447,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-07-12,1802,7,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0490,MahlmannErnestine_MayerJohann_1802-07-19.xml,JP-UB0490,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-07-19,1802,7,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0466,MahlmannErnestine_MayerJohann_1802-08-12.xml,JP-UB0466,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-08-12,1802,8,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0337,RichterCaroline+RichterJohann_OsmundEmanuel_1802-08-17.xml,JP-UB0337,letters-context,Richter Caroline + Jean Paul,Osmund Emanuel,1802-08-17,1802,8,1799,RichterCarolineANDJeanPaul,OsmundEmanuel
ub0683,MahlmannErnestine_RichterCaroline_1802-08-26.xml,JP-UB0683,letters-context,Mahlmann Ernestine,Richter Caroline,1802-08-26,1802,8,1799,MahlmannErnestine,RichterCaroline
ub0510,RichterCaroline_MayerJohann_1802-08-30.xml,JP-UB0510,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-08-30,1802,8,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub1030,MahlmannSiegfried_TieckLudwig_1802-09-01.xml,JP-UB1030,letters-context,Mahlmann Siegfried August,Tieck Ludwig,1802-09-01,1802,9,1799,MahlmannSiegfriedAugust,TieckLudwig
ub0312,RichterCaroline+RichterJohann_OsmundEmanuel_1802-09-10.xml,JP-UB0312,letters-context,Richter Caroline + Jean Paul,Osmund Emanuel,1802-09-10,1802,9,1799,RichterCarolineANDJeanPaul,OsmundEmanuel
ub0696,SpazierJohann_FrauenholzJohann_1802-09-12.xml,JP-UB0696,letters-context,Spazier Johann Karl Gottlieb,Frauenholz Johann Friedrich,1802-09-12,1802,9,1799,SpazierJohannKarlGottlieb,FrauenholzJohannFriedrich
ub0822,RichterCaroline+RichterJohann_OsmundEmanuel_1802-09-20.xml,JP-UB0822,letters-context,Richter Caroline + Jean Paul,Osmund Emanuel,1802-09-20,1802,9,1799,RichterCarolineANDJeanPaul,OsmundEmanuel
ub0573,OsmundEmanuel_GoldschmidtCaroline_1802-09-21.xml,JP-UB0573,letters-context,Osmund Emanuel,Goldschmidt Caroline,1802-09-21,1802,9,1799,OsmundEmanuel,GoldschmidtCaroline
ub0485,MahlmannErnestine_MayerJohann_1802-09-22.xml,JP-UB0485,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-09-22,1802,9,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0256,MahlmannErnestine_RichterCaroline_1802-09-22.xml,JP-UB0256,letters-context,Mahlmann Ernestine,Richter Caroline,1802-09-22,1802,9,1799,MahlmannErnestine,RichterCaroline
ub0821,MayerJohann_RichterCaroline_1802-09-24.xml,JP-UB0821,letters-context,Mayer Johann Siegfried Wilhelm,Richter Caroline,1802-09-24,1802,9,1799,MayerJohannSiegfriedWilhelm,RichterCaroline
ub0375,RichterCaroline_MayerJohann_1802-10-08.xml,JP-UB0375,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-10-08,1802,10,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
ub0112,RichterJohann+RichterCaroline_OsmundEmanuel_1802-10-09.xml,JP-UB0112,letters-context,Jean Paul + Richter Caroline,Osmund Emanuel,1802-10-09,1802,10,1799,JeanPaulANDRichterCaroline,OsmundEmanuel
ub0468,MahlmannErnestine_MayerJohann_1802-10-12.xml,JP-UB0468,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-10-12,1802,10,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0108,MahlmannErnestine_RichterCaroline_1802-10-12.xml,JP-UB0108,letters-context,Mahlmann Ernestine,Richter Caroline,1802-10-12,1802,10,1799,MahlmannErnestine,RichterCaroline
ub0025,OsmundEmanuel_GoldschmidtCaroline_1802-10-12.xml,JP-UB0025,letters-context,Osmund Emanuel,Goldschmidt Caroline,1802-10-12,1802,10,1799,OsmundEmanuel,GoldschmidtCaroline
ub0169,RichterCaroline+RichterJohann_OsmundEmanuel_1802-10-18.xml,JP-UB0169,letters-context,Richter Caroline + Jean Paul,Osmund Emanuel,1802-10-18,1802,10,1799,RichterCarolineANDJeanPaul,OsmundEmanuel
ub0588,MahlmannErnestine_MayerJohann_1802-10-26.xml,JP-UB0588,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-10-26,1802,10,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0396,RichterCaroline+RichterJohann_OsmundEmanuel_1802-11-03.xml,JP-UB0396,letters-context,Richter Caroline + Jean Paul,Osmund Emanuel,1802-11-03,1802,11,1799,RichterCarolineANDJeanPaul,OsmundEmanuel
ub0438,OsmundEmanuel_GoldschmidtCaroline_1802-11-12.xml,JP-UB0438,letters-context,Osmund Emanuel,Goldschmidt Caroline,1802-11-12,1802,11,1799,OsmundEmanuel,GoldschmidtCaroline
ub0386,MahlmannErnestine_MayerJohann_1802-11-16.xml,JP-UB0386,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-11-16,1802,11,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0583,MahlmannErnestine_MayerJohann_1802-11-25.xml,JP-UB0583,letters-context,Mahlmann Ernestine,Mayer Johann Siegfried Wilhelm,1802-11-25,1802,11,1799,MahlmannErnestine,MayerJohannSiegfriedWilhelm
ub0457,RichterCaroline_MayerJohann_1802-12-03.xml,JP-UB0457,letters-context,Richter Caroline,Mayer Johann Siegfried Wilhelm,1802-12-03,1802,12,1799,RichterCaroline,MayerJohannSiegfriedWilhelm
